TSN,,Genus,,Species,,Variety,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10000||Amphidinium||fusiforme||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
11455,,Porphyridiales,,,,,,,N,accepted,,TWG standards met,partial,2014,0,1996/6/13 14:51,846512,,0,,0,3,100,No,,[TU]|11455||Porphyridiales|||||||N|accepted||TWG standards met|partial|2014|0|1996-06-13 14:51:08|846512||0||0|3|100|No|
11456,,Porphyridiaceae,,,,,,,N,accepted,,TWG standards met,partial,2014,0,1996/6/13 14:51,11455,,0,,0,3,140,No,,[TU]|11456||Porphyridiaceae|||||||N|accepted||TWG standards met|partial|2014|0|1996-06-13 14:51:08|11455||0||0|3|140|No|
11457,,Porphyridium,,,,,,,,accepted,,No review; untreated NODC data,unknown,unknown,0,1996/6/13 14:51,11456,,41981,,0,3,180,,,[TU]|11457||Porphyridium||||||||accepted||No review; untreated NODC data|unknown|unknown|0|1996-06-13 14:51:08|11456||41981||0|3|180||
11458,,Porphyridium,,aerugineum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,11457,,0,,0,3,220,,,[TU]|11458||Porphyridium||aerugineum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|11457||0||0|3|220||
11459,,Porphyridium,,purpureum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,11457,,0,,0,3,220,,,[TU]|11459||Porphyridium||purpureum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|11457||0||0|3|220||
11460,,Porphyridium,,cruentum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,11457,,33299,,0,3,220,,,[TU]|11460||Porphyridium||cruentum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|11457||33299||0|3|220||
11461,,Phragmonemataceae,,,,,,,N,accepted,,TWG standards met,unknown,2014,0,1996/6/13 14:51,11455,,0,,0,3,140,No,,[TU]|11461||Phragmonemataceae|||||||N|accepted||TWG standards met|unknown|2014|0|1996-06-13 14:51:08|11455||0||0|3|140|No|
11462,,Neevea,,,,,,,N,accepted,,TWG standards met,unknown,2014,0,1996/6/13 14:51,954977,,38766,,0,3,180,No,,[TU]|11462||Neevea|||||||N|accepted||TWG standards met|unknown|2014|0|1996-06-13 14:51:08|954977||38766||0|3|180|No|
11463,,Neevea,,repens,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,11462,,38766,,0,3,220,,,[TU]|11463||Neevea||repens||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|11462||38766||0|3|220||
11466,,Kneuckeria,,,,,,,N,accepted,,TWG standards met,unknown,2014,0,1996/6/13 14:51,11461,,42918,,0,3,180,No,,[TU]|11466||Kneuckeria|||||||N|accepted||TWG standards met|unknown|2014|0|1996-06-13 14:51:08|11461||42918||0|3|180|No|
11467,,Kneuckeria,,pulchra,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,11466,,42918,,0,3,220,,,[TU]|11467||Kneuckeria||pulchra||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|11466||42918||0|3|220||
