TSN,,Genus,,Species,,Variety,,,,,,,,,,,,,,,,,,,,
10000,,Amphidinium,,fusiforme,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10000||Amphidinium||fusiforme||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10001,,Amphidinium,,operculatum,,,,,N,accepted,,TWG standards met,,,0,1996/6/13 14:51,9997,,161313,,0,6,220,,,[TU]|10001||Amphidinium||operculatum|||||N|accepted||TWG standards met|||0|1996-06-13 14:51:08|9997||161313||0|6|220||
10003,,Amphidinium,,ovum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10003||Amphidinium||ovum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10004,,Amphidinium,,pellucidum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10004||Amphidinium||pellucidum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10005,,Amphidinium,,scissoides,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10005||Amphidinium||scissoides||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10006,,Amphidinium,,sphenoides,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10006||Amphidinium||sphenoides||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10007,,Amphidinium,,longum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10007||Amphidinium||longum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10008,,Amphidinium,,acutissimum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10008||Amphidinium||acutissimum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10009,,Amphidinium,,acutum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10009||Amphidinium||acutum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10010,,Amphidinium,,glaucum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10010||Amphidinium||glaucum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10011,,Amphidinium,,globosum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10011||Amphidinium||globosum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10012,,Amphidinium,,lacustre,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10012||Amphidinium||lacustre||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10013,,Amphidinium,,lanceolatum,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10013||Amphidinium||lanceolatum||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10014,,Amphidinium,,schroederi,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10014||Amphidinium||schroederi||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10015,,Amphidinium,,steini,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,0,,0,6,220,,,[TU]|10015||Amphidinium||steini||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||0||0|6|220||
10016,,Amphidinium,,klebsii,,,,,,accepted,,No review; untreated NODC data,,,0,1996/6/13 14:51,9997,,160742,,0,6,220,,,[TU]|10016||Amphidinium||klebsii||||||accepted||No review; untreated NODC data|||0|1996-06-13 14:51:08|9997||160742||0|6|220||
